Created At (IST),Instrument,Side,Status,Limit Price (INR),Requested Qty,Filled Qty,Filled Quote (INR),Cancelled Qty
2026-04-24 03:10:41 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.46,1067.73,34.81,3322.96,1032.92
2026-04-24 03:10:00 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.47,1255.05,187.71,17920.67,1067.34
2026-04-24 02:59:56 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.27,1886.53,46.05,4387.18,1840.48
2026-04-23 09:56:09 PM,USDT/INR,BUY,FULFILLED,95.65,423.11,423.11,40470.47,0.0
2026-04-23 09:55:56 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.66,439.68,16.61,1588.91,423.07
2026-04-23 09:20:34 PM,USDT/INR,BUY,FULFILLED,95.65,1284.88,1284.88,122898.77,0.0
2026-04-23 09:15:59 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.44,1569.31,282.02,26915.99,1287.29
2026-04-23 08:56:55 PM,USDT/INR,BUY,FULFILLED,95.44,892.18,892.18,85149.66,0.0
2026-04-23 08:52:16 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.42,1569.63,678.28,64721.47,891.35
2026-04-23 08:10:02 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.43,1553.81,29.97,2860.04,1523.84
2026-04-23 08:07:23 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.37,1570.46,15.69,1496.36,1554.77
2026-04-23 07:50:27 PM,USDT/INR,BUY,FULFILLED,95.37,337.27,337.27,32165.44,0.0
2026-04-23 07:50:14 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.42,743.34,406.85,38821.63,336.49
2026-04-23 07:41:08 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.42,808.59,65.35,6235.7,743.24
2026-04-23 07:31:51 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.53,1033.89,226.57,21644.23,807.32
2026-04-23 07:22:59 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.39,1065.15,29.79,2841.67,1035.36
2026-04-23 07:22:21 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.4,1551.78,487.47,46504.64,1064.31
2026-04-23 07:20:55 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.41,1569.8,18.21,1737.42,1551.59
2026-04-23 07:13:20 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.48,1552.47,15.44,1474.21,1537.03
2026-04-23 06:50:55 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.49,1568.48,16.2,1546.94,1552.28
2026-04-23 06:43:40 PM,USDT/INR,BUY,FULFILLED,95.37,333.92,333.92,31845.95,0.0
2026-04-23 06:39:51 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.59,1284.1,952.38,91038.0,331.72
2026-04-23 06:38:59 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.53,1301.21,16.33,1559.84,1284.88
2026-04-23 06:37:49 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.55,1319.82,18.91,1806.85,1300.91
2026-04-23 06:28:44 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.37,1333.19,10.9,1039.53,1322.29
2026-04-23 06:19:21 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.38,1370.74,37.74,3599.64,1333.0
2026-04-23 06:18:11 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.38,1505.89,135.36,12910.64,1370.53
2026-04-23 06:15:48 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.38,1524.21,18.34,1749.27,1505.87
2026-04-23 06:07:23 PM,USDT/INR,BUY,PARTIALLY_CANCELLED,95.33,1571.12,46.18,4402.34,1524.94
